mile,mile_raw,lat,lon,elevation_ft,elevation_smooth_ft,grade_smooth_percent,segment_miles
0.0,0.0,47.00698787346482,-91.71194463036954,717.847792,719.7367987230768,0.7703487311077255,0.0
0.004966124700809467,0.004977518128403059,47.006933810189366,-91.71201445162296,717.8806004,719.8721917925926,0.7781878050864882,0.004966124700809467
0.009936589357830532,0.009959386169871368,47.00687966309488,-91.71208427287638,717.9134088,720.0096312142857,0.7853657056076667,0.004970464657021065
0.014902718452700702,0.014936908702416114,47.00682559981942,-91.7121540941298,717.9462172000001,720.1489052965517,0.7917609712972864,0.00496612909487017
0.0198688497433919,0.019914433435819605,47.006771536543965,-91.71222391538322,718.011834,720.2898305733332,0.7975012140454247,0.004966131290691199
0.024839320984936544,0.024896308076917895,47.00671738944948,-91.71229373663664,718.0774508000001,720.4333055870967,0.8026114706655311,0.0049704712415446425
0.02980545666961819,0.029873837214392653,47.00666332617402,-91.71236355789006,718.175876,720.5801165625,0.8070078091162362,0.004966135684681645
0.034771594549855914,0.0348513685524606,47.006609262898564,-91.71243337914348,718.2743012,720.7309544242424,0.8107725983086725,0.004966137880237725
0.039742072375523116,0.039833249792786934,47.006555115804076,-91.7125032003969,718.4055347999999,720.8854638588235,0.8138755884742814,0.004970477825667202
0.04470821465047155,0.04481078553564806,47.00650105252862,-91.71257302165031,718.5695768,721.0442675428571,0.8164466604598978,0.004966142274948432
0.04967435912057876,0.049788323478704155,47.00644698925316,-91.71264284290373,718.7336187999999,721.2070076222221,0.8183994871576683,0.004966144470107209
0.05464050578610696,0.05476586362221805,47.00639292597771,-91.71271266415715,718.9632776,721.3733649297297,0.8198061717535903,0.004966146665528207
0.05960839139877344,0.05974514670241328,47.00633877888322,-91.71278240159154,719.160128,721.5439172736842,0.8207795504169488,0.004967885612666478
0.06457454245874401,0.0647226912504514,47.00628471560776,-91.71285222284496,719.3897868,721.7183419589744,0.8212818112950336,0.004966151059970572
0.06954069571413354,0.06970023799894526,47.006230652332306,-91.71292204409838,719.652254,721.8955283500001,0.8213401346357408,0.00496615325538953
0.07451118890159601,0.07468213463631035,47.00617650523782,-91.7129918653518,719.9147212,722.0760745756098,0.821012688786634,0.004970493187462469
0.07947734655142381,0.07965968578932434,47.00612244196236,-91.71306168660522,720.1771884,722.2589594952382,0.8203545393325287,0.0049661576498278015
0.0844435063970638,0.0846372391431882,47.006068378686905,-91.71313150785863,720.5052724000001,722.4432569581396,0.8194005896600011,0.004966159845639986
0.08941400616823356,0.08961914237936511,47.00601423159242,-91.71320132911205,720.8333564000001,722.6281250090909,0.8181623408115303,0.004970499771169756
0.09438017040824155,0.09459670013767867,47.00596016831696,-91.71327115036547,721.1614404,722.8127965333333,0.8166347023619687,0.004966164240007995
0.09934633684340151,0.09957426009618038,47.005906105041504,-91.71334097161889,721.456716,722.9965711217391,0.8147790493662364,0.004966166435159958
0.10431250547404185,0.1045518222551994,47.00585204176605,-91.71341079287231,721.7848,723.1795060255319,0.8125188101134367,0.0049661686306403385
0.10928301402359566,0.10953373428989999,47.00579789467156,-91.71348061412573,722.112884,723.3609702166667,0.8098940534591555,0.004970508549553818
0.11424918704820329,0.11451130085296707,47.0057438313961,-91.71355043537915,722.4081596,723.5410537387755,0.8068727317701698,0.004966173024607626
0.11921536226901361,0.11948886961727544,47.00568976812065,-91.71362025663257,722.7362436,723.718527096,0.8034344646370675,0.004966175220810318
0.12418587740232609,0.12447078825083933,47.00563562102616,-91.71369007788599,723.0643276,723.8929005254903,0.7996302324091331,0.004970515133312481
0.1291494536953265,0.12944575212480208,47.0055815577507,-91.71375981532037,723.3924116000001,724.1849596156864,0.7954159120908887,0.004963576293000399
0.13411563550597155,0.1344233274940638,47.005527494475245,-91.71382963657379,723.7204956,724.4789486117646,0.7907273695371813,0.004966181810645065
0.1390861572233659,0.13940525272681495,47.00547334738076,-91.71389945782721,724.0485796,724.7742242117647,0.7856916086921257,0.004970521717394344
0.1440523434280363,0.14438283250018288,47.0054192841053,-91.71396927908063,724.3766635999999,725.0707864156863,0.7802628948645195,0.004966186204670403
0.14901853182811475,0.14936041447399565,47.005365220829844,-91.71403910033405,724.737556,725.3673486196078,0.7744556481824747,0.004966188400078453
0.15398472242373298,0.15433799864838524,47.00531115755439,-91.71410892158747,725.1312568000001,725.6639108235295,0.7683471134620716,0.004966190595618231
0.15895525291876,0.15931993267890698,47.0052570104599,-91.71417874284089,725.557766,725.9598297254902,0.7619618977320264,0.00497053049502702
0.16392144790905627,0.16429752125805702,47.00520294718444,-91.7142485640943,725.9842752,726.2551053254903,0.7553073500590015,0.004966194990296269
0.16888764509449497,0.16927511203738566,47.00514888390899,-91.71431838534772,726.4435927999999,726.5484510196078,0.7484628400996685,0.004966197185438698
0.17385818217352397,0.17425705266701458,47.0050947368145,-91.71438820660114,726.9029104,726.8398668078431,0.7413997820039228,0.004970537079029003
0.17882438375330753,0.1792346478507697,47.00504067353904,-91.71445802785456,727.362228,727.1287093882353,0.7341325330249994,0.004966201579783558
0.18379058752888966,0.18421224523536106,47.004986610263586,-91.71452784910798,727.854354,727.4143354588235,0.7266992599360655,0.004966203775582129
0.1887611311920458,0.18919419246422262,47.0049324631691,-91.7145976703614,728.34648,727.6967450196078,0.7287255442899608,0.004970543663156135
0.19372473598622333,0.19416918490475074,47.00487839989364,-91.71466740779579,728.8057976,727.9759380705882,0.7235418142498008,0.00496360479417754
0.1986909463516137,0.19914678889426884,47.004824336618185,-91.7147372290492,729.2979236,728.250628007843,0.7179657348621524,0.0049662103653903555
0.20365715891214173,0.2041243950839608,47.00477027334273,-91.71480705030262,729.7572412000001,728.5214581333333,0.7119949021437649,0.004966212560528038
0.2086277113525085,0.2091063511101699,47.00471612624824,-91.71487687155604,730.1837504,728.7884284470588,0.7056466857505389,0.00497055244036676
0.2135939283077009,0.2140839617046086,47.004662062972784,-91.71494669280946,730.5774512,729.0496090431373,0.6988807920186461,0.004966216955192421
0.21856014745802899,0.21906157449921912,47.00460799969733,-91.71501651406288,730.9383435999999,729.3056432235294,0.6916446284757378,0.004966219150328077
0.22353070648283793,0.22404353712497663,47.00455385260284,-91.7150863353163,731.2664275999999,729.5558876862746,0.683909246224338,0.004970559024808946
0.22849693002782634,0.22902115432432982,47.00449978932738,-91.71515615656972,731.5945116,729.8009857333333,0.675666865246954,0.004966223544988407
0.23346315576755308,0.23399877372345657,47.00444572605193,-91.71522597782314,731.8897872,730.0396507607843,0.6669048776444565,0.004966225739726743
0.2384337213767325,0.2389807429486906,47.00439157895744,-91.71529579907656,732.1850628,730.2725260705881,0.6576818752875273,0.0049705656091794115
0.24339995151118166,0.24395836675262228,47.00433751568198,-91.71536562032998,732.4147216,730.500254964706,0.6479797220511946,0.004966230134449162
0.2483661838410915,0.2489359927570515,47.004283452406526,-91.7154354415834,732.611572,730.7221941411765,0.6378056072296997,0.0049662323299098365
0.2533324183663951,0.2539136209619112,47.00422938913107,-91.71550526283681,732.7428056,730.9383436,0.62717141774731,0.004966234525303592
0.2583029927528236,0.2588955989845314,47.00417524203658,-91.71557508409023,732.8740392,731.1493466431374,0.616133578073463,0.004970574386428506
0.26326662824012725,0.2638706221886027,47.004121178761125,-91.71564482152462,732.9724644,731.3552032705882,0.6046058068135539,0.004963635487303664
0.2682328693552767,0.26884825699842685,47.00406711548567,-91.71571464277804,733.0708896,731.5565567843138,0.5926894254152885,0.004966241115149428
0.2732034503253371,0.2738302416197833,47.00401296839118,-91.71578446403146,733.1365064,731.7534071843137,0.5804093702875783,0.004970580970060423
0.27816969583513323,0.2788078808343365,47.003958905115724,-91.71585428528488,733.2021232,731.9451111686274,0.56781157728031,0.00496624550979613
0.28313594354005617,0.2837855222490526,47.00390484184027,-91.7159241065383,733.26774,732.1310254352942,0.5549520785095269,0.0049662477049229325
0.2881065310945323,0.28876751346993096,47.00385069474578,-91.71599392779171,733.3333568,732.3098633803921,0.5418489027383783,0.004970587554476158
0.2930727831937025,0.29374515928897577,47.00379663147032,-91.71606374904513,733.3661652,732.4816250039215,0.5285234654280527,0.004966252099170176
0.29803903748839283,0.2987228073085777,47.003742568194866,-91.71613357029855,733.431782,732.6456670039216,0.5150846095924193,0.004966254294690331
0.30300529397886533,0.3037004575289995,47.00368850491941,-91.71620339155197,733.4645904,732.8013460784315,0.5015481866641338,0.004966256490472498
0.30797589031089284,0.30868245754756685,47.00363435782492,-91.71627321280539,733.5302072000001,732.9493055294118,0.48794440798970184,0.00497059633202751
0.31294215119534435,0.3136601121720484,47.003580294549465,-91.71634303405881,733.5630156,733.0882587529412,0.4743424505632523,0.004966260884451512
0.31790841427518074,0.3186377689969516,47.00352623127401,-91.71641285531223,733.6286324,733.216919145098,0.45460993367352576,0.004966263079836386
0.3228790171912148,0.32361977561463073,47.00347208417952,-91.71648267656565,733.6614408,733.3372166117647,0.4346279258088226,0.0049706029160340726
0.32784528466575047,0.32859743684431564,47.003418020904064,-91.71655249781907,733.7270576,733.4478645490196,0.4144256607618381,0.004966267474535657
0.33280895084459877,0.333572490810345,47.00336395762861,-91.71662223525345,733.7926744,733.5488629568628,0.3940140387797973,0.004963666178848303
